id,question,eventId,slug,conditionId,startDate,endDate,closedTime,category,liquidityNum,volumeNum,prob_yes,prob_no,lastTradePrice,bestBid,bestAsk,active,closed,marketType,fpmmLive,resolutionSource,clobTokenIdYes,clobTokenIdNo
242658,"NHL: Will the Bruins beat the Devils by more than 1.5 goals in their March 31, 7:00 PM ET matchup?",5693,nhl-will-the-bruins-beat-the-devils-by-more-than-1pt5-goals-in-their-march-31-700-pm-et-matchup,0xb0f707500a79d687d12ebb022486ade257d35d6adabacd47f22aeb745777e910,2022-03-31 16:29:36+00:00,2022-03-31 00:00:00+00:00,2022-04-01 06:47:16+00:00,Sports,150.0,866.51,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,38690367779946266136033394706303323555764728511265719992177695388809720481584,42183380635086221842408944686315286762212442238272709672939590606702462608281
243224,NHL: Will the Blue Jackets beat the Canadiens by more than 1.5 goals in their April 13 matchup (7 PM ET)?,5694,nhl-will-the-blue-jackets-beat-the-canadiens-by-more-than-1pt5-goals-in-their-april-13-matchup-7-pm-et,0x7bc57ba1bdcdd5f3a48a1bc2a7af4d1602d3f923c47bf16322979064e231545e,2022-04-13 15:37:09+00:00,2022-04-13 00:00:00+00:00,2022-04-14 06:33:00+00:00,Sports,150.0,210.57,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,32327970481814005002741144265036290152789555878410246770612319138517219441761,50035274290695005749380983421153424647536445242736227915696870921293891910627
243308,"NBA: Who will win Hawks vs. Cavaliers, scheduled for April 15 (7:30 PM ET)?",5695,nba-who-will-win-hawks-vs-cavaliers-scheduled-for-april-15-730-pm-et,0xdd7d34d4d77c783031541c8250711538d87fe229f61af99ddf125df378e806dc,2022-04-15 00:00:00+00:00,2022-04-15 00:00:00+00:00,2022-04-16 07:46:14+00:00,Sports,150.0,29885.24,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,42769038887822698929747948223447781062054203240012531938124714302148845441347,37386306650618889428627568304651750194816310317584943885094945533237240107430
240204,Will the floor price of Mutant Apes be above 7 ETH on January 12?,5697,will-the-floor-price-of-mutant-apes-be-above-7-eth-on-january-12,0xb0c6970625b6cc4d0f81423f3bed026d8401a446583d7facaf5f2d36d7987edb,2021-12-28 22:12:16+00:00,2022-01-12 00:00:00+00:00,2022-01-12 18:57:40+00:00,NFTs,998.87,8738.8,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://opensea.io/collection/mutant-ape-yacht-club,80140113877968634155798562935440038085106727336037123207607395080408796708231,94065941988251485828847901765408463912409044897322075784989052725249273122981
243861,2022 NFL Draft: Will Travon Walker be No.1 pick?,5698,2022-nfl-draft-will-travon-walker-be-no1-pick,0xdee9eb49aba2dbaaaddb6d7a0bc7ccfc08d6a820ad34961c0f11e707501059b6,2022-04-28 03:03:12+00:00,2022-04-30 00:00:00+00:00,2022-04-29 07:19:07+00:00,Sports,140.39,13994.36,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nfl.com/draft/,104833104321015353075378084422051378874686108848283175483050515948100092319135,88751018398452703988048119978545881033982769037024691427905075804311209271711
244377,"NHL: Who will win Avalanche vs. Predators, scheduled for May 7, 4:30 PM ET?",5699,nhl-who-will-win-avalanche-vs-predators-scheduled-for-may-7-430-pm-et,0x79938a32464ef9445d82f6f380a485895e4d11fc3b41b6cb5e1a79e13d8d1ad9,2022-05-07 17:58:16+00:00,2022-05-07 00:00:00+00:00,2022-05-08 07:46:46+00:00,Sports,100.01,320.3,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,103816190619619258805925172739069143244422540249389043806007037740911596501761,57112699574805748640592272214260467475882037934238035058324769821651949370920
243110,"NBA: Who will win Timberwolves vs. Clippers, scheduled for April 12 (9:30 PM ET)?",5700,nba-who-will-win-timberwolves-vs-clippers-scheduled-for-april-12-930-pm-et,0xf7c6742be57a0d01b38841e35ae3848f333fac2b341b4400c48c8c420d9b975b,2022-04-12 14:09:44+00:00,2022-04-12 00:00:00+00:00,2022-04-13 06:46:36+00:00,Sports,150.01,63329.43,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,82194477285839226724068396570969512903128696571996411242263395299094186883925,42051308487568260786680936252186679475386010441467588900049758703368625375337
243536,"MLB: Who will win Oakland Athletics vs. Baltimore Orioles, scheduled for April 21, 3:37 PM ET?",5701,mlb-who-will-win-oakland-athletics-vs-baltimore-orioles-scheduled-for-april-21-337-pm-et,0x368617dd352f6e93986aa919b5b6fe6f3132ac0ac8e43eb6c15bad6cdba0dc19,2022-04-21 14:13:33+00:00,2022-04-21 00:00:00+00:00,2022-04-22 07:15:53+00:00,Sports,100.0,756.56,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,http://mlb.com/scores,58008404302247284668571548387975613136920980171570555042481539353701817265263,96947119086178491814472574584364084791090638568662095181191626126214019782894
243342,"NBA: Who will win Jazz vs. Mavericks, scheduled for April 16, 1:00 PM ET?",5703,nba-who-will-win-jazz-vs-mavericks-scheduled-for-april-16-100-pm-et,0x6ab36ea5fcdd6e34e0addc81101306e03380de31178561c614baa6d4af06a904,2022-04-16 15:19:02+00:00,2022-04-16 00:00:00+00:00,2022-04-17 07:32:02+00:00,Sports,150.0,777.03,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,31523857514983656169700289743173643473431510735731928061949324284574082735439,36937923207932693505940977272060649448672617708527966975493723804939426257131
243456,"NHL: Will the Leafs beat the Flyers by more than 2.5 goals in their April 19, 7:00 PM ET matchup?",5704,nhl-will-the-leafs-beat-the-flyers-by-more-than-2pt5-goals-in-their-april-19-700-pm-et-matchup,0x530ae327c1874262e148b08ad73d822f115f063feb9b084217178287ad00f488,2022-04-19 15:03:19+00:00,2022-04-19 00:00:00+00:00,2022-04-20 07:32:52+00:00,Sports,150.0,1635.2,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,83568832426662549852801260913375315606894747614965546375588007963039040311048,68820647750972103934179317387238763470712343284115928117796869504259235665968
240444,"Will the U.S. 7-day COVID-19 Case average be below 100,000 by March 1, 2022?",5705,will-the-7-day-covid-19-case-average-be-below-100000-by-march-1-2022,0xb442688bbffa04352e61e1e4b0406dfda5c0f70061379b144727eaf5b8f46e91,2022-01-12 20:57:00+00:00,2022-03-01 00:00:00+00:00,2022-03-02 18:30:25+00:00,Coronavirus,25.03,79367.71,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendscases,53610567945539408788780453783741524482616612956766237722963678769706616148974,5796976503470932643828060336005879872507768016450095414436149985450424288405
